no,group,status,score,file,note,issues,actions,outline,chars_no_space
1,공정거래조정원,초안/구버전,69,26-01-15_한국공정거래조정원(KOFAIR) 일반직 6급.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","공정거래조정원 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",4679
2,NH농협은행,초안/구버전,70,26-01-16_NH농협은행 6급초급_일반.docx,기관 맞춤성 및 사실성 보완 필요,"허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","NH농협은행 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",3360
3,HF,초안/구버전,70,26-01-16_한국주택금융공사(HF) [일반전형]강원서부지사.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤",공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김,"HF 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",4160
4,국민건강보험공단,초안/구버전,67,26-03-04_국민건강보험공단(h·well) [일반]강원_행정 6급가.docx,기관 맞춤성 및 사실성 보완 필요,본문 분량이 부족하거나 일부 문항만 작성됨,문항별 최소 80~90% 분량까지 경험-행동-결과-직무활용을 보강,"국민건강보험공단 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",778
5,HIRA,초안/구버전,69,26-03-12_건강보험심사평가원(HIRA) 행정직_사무 행정_6급가_일반.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","HIRA 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",1818
6,국민연금공단,초안/구버전,69,26-03-17_국민연금공단(NPS) [일반전형-권역] 6급 사무직.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","국민연금공단 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2942
7,신한은행,초안/구버전,69,26-03-28_신한은행 일반직_일반.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","신한은행 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2876
8,우리은행,초안 작성 필요,25,26-05-27_우리은행 지역인재 (강원).docx,답변 공란 또는 문항 템플릿 중심,답변 본문이 없거나 문항 안내 중심이라 평가 가능한 서술이 부족함,"기존 검증 경험 4종(데이터 정리, 숙박비 검증, 도서관 개선, 고령 고객 응대)을 문항별로 배치해 초안부터 작성","우리은행 문항은 아직 답변이 비어 있으므로, 데이터 정리 경험은 업무효율/직무역량, 숙박비 검증 경험은 원칙/윤리, 도서관 개선 경험은 협업/개선, 고령 고객 응대는 고객보호/소통 문항에 배치해 초안을 작성합니다.",322
9,HUG,초안/구버전,77,26-06-21_주택도시보증공사(HUG) 일반전형_금융·기금(강원).docx,기관 맞춤성 및 사실성 보완 필요,전반적으로 제출 가능하나 중복 표현과 기관 연결 문장만 마지막 점검 필요,"현행 구조 유지, 소제목과 마지막 직무 적용 문장만 기관명·직무명에 맞춰 미세 조정","HUG 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2659
10,HUG,개선본/후보,82,26-06-21_주택도시보증공사(HUG) 일반전형_금융·기금(강원)_최종개선본_patina.docx,"제출 가능 후보, 중복본과 비교 필요",허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","HUG 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2809
11,HUG,제출 기준본,86,26-06-21_주택도시보증공사(HUG) 일반전형_금융·기금(강원)_최종상위권_patina.docx,HUG 강원 최신 상위권본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","HUG 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2805
12,IBK기업은행,제출 기준본,86,IBK기업은행_자기소개서_최종본.docx,IBK기업은행 제출 기준본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","IBK기업은행 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2836
13,NH농협은행,개선본/후보,78,NH농협은행_6급_자기소개서_블라인드_최종본_개선안.docx,"제출 가능 후보, 중복본과 비교 필요","같은 기관의 최종제출본보다 1번 소제목·3번 사실성·5번 마무리가 약함 / 최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","최종제출본을 기준본으로 사용하고 이 파일은 비교용으로 보관 / 공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","NH농협은행 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2892
14,NH농협은행,제출 기준본,90,NH농협은행_6급_자기소개서_최종제출본.docx,NH농협은행 6급 제출 기준본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음",공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화,"NH농협은행 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2906
