experience_id,claim_id,claim_field,claim_value,source_path,paragraph_index,decision,method,baseline,result,formula,measurement_period,scope,contribution,notes
exp_41223e54120aa428,clm_a70e6de53f9342e21545,experience_summary,"서울시청 코로나19 지원과에서 의료 인력의 급여 산정 업무를 담당하던 중, 숙박비 지원 증빙의 신뢰성이 부족하다는 문제를 발견했습니다. 긴급 지원이 이루어지는 상황에서 일부 허위 신고 가능성이 제기되었습니다. 숙박비 청구 건의 신뢰성을 높이고, 부정수급을 방지할 수 있는 검증 시스템을 구축해야 했습니다. 엑셀 필터 기능을 활용해 평균값을 벗어나는 청구 건 자동 분류 숙박비 영수증과 실제 임대인의 증빙 금액이 다른 사례를 발견 → 허위 신고 가능성 인지 부동산 앱을 활용해 숙박비 시세 검증 절차 추가. 부정수급 적발 → 공적 예산 낭비 방지 업무 속도 기존보다 단축.",경험정리/경험정리.docx,29,pending,direct_source,,,,,source excerpt,observed,
exp_41223e54120aa428,clm_d3b25db618e154c0a32b,case_count,20건,경험정리/경험정리.docx,42,pending,none,,,,,,unknown,
exp_41223e54120aa428,clm_8bcf4f6724143003d665,metric:주,1주,경험정리/경험정리.docx,44,pending,none,,,,,,unknown,
exp_d5ef585ca8817f00,clm_0f9d3ca934f40d35a58f,experience_summary,"국민연금공단에서 기초연금 수급 대상자를 발굴하는 업무를 담당하면서, 기존 방식이 비효율적이라는 문제를 발견했습니다. 단순 연금액 기준 필터링 후 개별 전화로 확인했지만, 부동산 자산이나 추가 소득으로 인해 수급 대상이 아닌 경우가 많았습니다. 보다 정확한 필터링 방식을 도입해, 불필요한 전화 업무를 줄이고 실질적으로 도움이 필요한 대상자들을 신속하게 찾아야 했습니다. VLOOKUP 함수를 활용해 연금액, 부동산 공시지가, 소득을 함께 반영하는 필터링 시스템 구축 우선순위가 높은 대상자를 자동 분류하는 방식으로 개선. 불필요한 전화 업무 대폭 감소 업무 속도 단축 실제 수급 가능성이 높은 대상자에게 우선 연락 가능.",경험정리/경험정리.docx,49,pending,direct_source,,,,,source excerpt,observed,
exp_d5ef585ca8817f00,clm_ff529b180623f5baabf4,metric:주,1주,경험정리/경험정리.docx,63,pending,none,,,,,,unknown,
exp_cc49cbad1ed46e45,clm_06a610656b7cc2c74351,experience_summary,"별보기 행사 운영 지원 → 출석부 미기재, 물품 혼선, 지연 문제 분석 & 개선. 온라인 출석부 제출 도입 → 행사 진행 속도 향상 & 실적 처리 시간 단축. 자원봉사자 일정 조정 프로세스 개선 → 효율적인 인력 관리 달성. 행정 공무원 vs. 한강 지킴이 vs. 보안관 갈등 분석 → 소통 문제 파악 & 해결 제안.",경험정리/경험정리.docx,106,pending,direct_source,,,,,source excerpt,observed,
exp_7e6ffe60580ca5ee,clm_27c13e7cfa570ebf5506,experience_summary,젊은 세대 방문 감소 원인 분석 → SNS 홍보 전략 기획. 상인 인터뷰 & 타 시장 비교 분석 → 문제점 및 개선 방안 도출. SNS 활용 & 체험 프로그램 제안 → 방문객 수 증가 기대 효과 창출.,경험정리/경험정리.docx,126,pending,direct_source,,,,,source excerpt,observed,
exp_7e6ffe60580ca5ee,clm_ceaf32cc602de8db2e55,metric:명,50명,경험정리/경험정리.docx,128,pending,none,,,,,,unknown,
exp_2fe7474d7367a89c,clm_ac878752b9e92ecfc80b,metric:percentage,30%,경험정리/경험정리.docx,233,pending,none,,,,,,unknown,
exp_2df35f8fca5e30b8,clm_399075fe0bc5c7487377,metric:percentage,30%,경험정리/경험정리.docx,289,pending,none,,,,,,unknown,
exp_151ae891bd2719ad,clm_8be27b6346284ef55cea,metric:페이지,3000페이지,경험정리/경험정리.docx,405,pending,none,,,,,,unknown,
exp_151ae891bd2719ad,clm_4ece94fab3d267ccd8ec,metric:일,2일,경험정리/경험정리.docx,405,pending,none,,,,,,unknown,
exp_5381f510b1fba9e1,clm_2a40c719a4357110c02f,metric:percentage,30%,경험정리/경험정리.docx,505,pending,none,,,,,,unknown,
